-866882 ,3738674 ,-533868 ,189535 ,1522806 
34104702 ,-25600458 ,-953566 ,6919016 ,9472418 
-110429 ,233053 ,10427 ,-144107 ,130165 
877543 ,-671745 ,18610 ,307437 ,146901 
16631 ,-2684 ,-2216 ,-18806 ,12522 
1605349 ,-1515606 ,-851983 ,-185868 ,1315864 
63173 ,-126977 ,-23447 ,-31204 ,169903 
-1398 ,-177112 ,-25964 ,-12323 ,144158 
-11664 ,128253 ,-82533 ,-99192 ,54175 
250855 ,-477754 ,13429 ,-203499 ,398321 
-3473307 ,-3021450 ,297826 ,1703960 ,2273645 
-56894 ,-200409 ,-160895 ,-467969 ,812630 
-2270919 ,1438645 ,-1046430 ,-4155427 ,3281530 
23216205 ,-3625424 ,3129499 ,15603180 ,15211435 
-270522 ,-179297 ,41318 ,132133 ,109674 
-466017 ,-52836 ,-7699 ,30406 ,177279 
-139787 ,-127851 ,130481 ,-460 ,82840 
-9183 ,-72896 ,28224 ,884 ,53071 
-4997 ,-49175 ,5817 ,1991 ,38855 
-789 ,-5160 ,79 ,-1937 ,6702 
29635 ,-30413 ,-14524 ,7235 ,22111 
-80937448 ,-23484209 ,-23318620 ,14782732 ,56394825 
21835 ,-49508 ,-3972 ,7474 ,20782 
-31255 ,-19733 ,-18760 ,2263 ,23174 
4343846 ,-3355347 ,-69670 ,-81411 ,3691211 
143565 ,49765 ,-307081 ,-28116 ,346272 
-172692 ,28892 ,192748 ,123578 ,186488 
5884 ,48408 ,-71501 ,-9441 ,126411 
28035 ,36271 ,219629 ,8496 ,84178 
1263319 ,570503 ,-1462233 ,-248705 ,2283262 
-1140587 ,-1525203 ,1404159 ,-144129 ,1725890 
29403120 ,-16123021 ,-347646 ,3047624 ,6155787 
-20225 ,-32094 ,5 ,43653 ,81 
435216 ,-212737 ,1382 ,28418 ,29118 
-1929 ,3341 ,148 ,-949 ,701 
121040 ,-223903 ,110830 ,-44719 ,110100 
307 ,6320 ,910 ,-8276 ,5454 
450 ,672 ,1438 ,-2559 ,1580 
-1830 ,-958 ,1963 ,-547 ,1516 
-75007 ,-8730 ,-14270 ,-36499 ,64598 
-1501425 ,-1083927 ,492568 ,-935461 ,4344928 
-196425 ,112220 ,1291803 ,-1283671 ,1394589 
-1251396 ,1397583 ,450327 ,-261019 ,1110463 
2240458 ,396817 ,175704 ,-13808458 ,4968960 
-22169 ,25133 ,-9390 ,-22810 ,12251 
-202661 ,-89961 ,-2503 ,-50617 ,95936 
-29558 ,-42912 ,4001 ,-51707 ,39619 
-2083 ,-3591 ,1931 ,-1609 ,2665 
365174 ,-886097 ,426766 ,106985 ,18547 
-234 ,-207 ,6 ,-306 ,224 
402 ,-626 ,22 ,69 ,110 
-46040602 ,-18263592 ,-10618780 ,7694613 ,42037857 
3274 ,-7216 ,-841 ,79 ,3989 
-50204 ,-20713 ,-30866 ,-984 ,33186 
1923388 ,-1073953 ,1161594 ,467426 ,2254379 
-71652 ,-1065560 ,431080 ,-121103 ,883338 
972416 ,-706479 ,43746 ,-78115 ,560738 
-36567 ,82751 ,-71240 ,-7283 ,61542 
87 ,43467 ,54525 ,1436 ,34362 
782724 ,1115421 ,-142684 ,-177916 ,946296 
3001920 ,741317 ,-49734 ,-1876456 ,2328162 
9849768 ,-6192545 ,82746 ,2717825 ,1687711 
-68141 ,-140423 ,-159 ,141826 ,20099 
46594 ,-44628 ,8734 ,15278 ,35966 
13508 ,-748 ,4634 ,-20053 ,10184 
407300 ,-430382 ,185512 ,-94831 ,448090 
16212 ,-12158 ,19267 ,-17290 ,26739 
2323 ,-7426 ,6012 ,-2572 ,3738 
-6844 ,-11771 ,1980 ,2451 ,8917 
-15370 ,-51106 ,24192 ,1236 ,33226 
-903420 ,-2551155 ,205136 ,657855 ,1196863 
-827062 ,2627121 ,936208 ,109467 ,1649259 
-837877 ,-528367 ,657888 ,452412 ,927767 
-301051 ,-2916861 ,360911 ,995264 ,2404775 
-25203 ,-125457 ,38529 ,69970 ,7420 
-103659 ,-15561 ,-16997 ,-2332 ,40659 
-4328 ,449 ,-2606 ,-6790 ,6091 
-32031 ,-29348 ,16169 ,25468 ,7977 
1177 ,2399 ,-3406 ,-1991 ,2298 
0 ,0 ,0 ,-1 ,1 
1963 ,-7952 ,-4041 ,-236 ,3879 
-46802837 ,14986401 ,-32392740 ,4207608 ,68682963 
341410 ,54350 ,-371470 ,-270734 ,256069 
-41939 ,-35563 ,-51571 ,2697 ,37471 
-1827988 ,-4369344 ,403484 ,4256613 ,4458012 
-2126208 ,666690 ,-985863 ,842157 ,1266280 
270176 ,708920 ,-262282 ,468294 ,1279898 
-110302 ,-63435 ,-42145 ,-28434 ,129157 
26447 ,-20297 ,47469 ,-11072 ,30999 
814270 ,-1340142 ,-2056096 ,-25091 ,2105800 
-1583559 ,-2154103 ,760355 ,24404 ,2003554 
5642034 ,-3939892 ,41996 ,-830300 ,2797067 
389374 ,1077393 ,59401 ,-516366 ,581912 
440157 ,-214635 ,4640 ,48904 ,102963 
45781 ,-46631 ,1202 ,24262 ,13209 
714265 ,-1078818 ,693223 ,103121 ,716676 
103971 ,-11988 ,77638 ,-66438 ,58638 
66352 ,5553 ,155689 ,-25506 ,79759 
12237 ,-31891 ,11753 ,17196 ,39361 
-113906 ,-202477 ,63108 ,105962 ,124946 
-844322 ,-2941656 ,36899 ,-1253681 ,2073736 
-237680 ,-396238 ,392782 ,483746 ,1486410 
-479748 ,-2216241 ,134722 ,1007694 ,1138998 
-7451344 ,-5163019 ,121399 ,4854032 ,6145352 
-85070 ,-25168 ,12738 ,15406 ,98813 
100148 ,-446558 ,36709 ,155087 ,247285 
-133096 ,-15472 ,22849 ,-33111 ,144340 
-109426 ,-67029 ,3181 ,38420 ,104886 
13287 ,10501 ,16306 ,3600 ,19419 
335 ,-20 ,427 ,-295 ,3325 
19942 ,21957 ,-23186 ,2579 ,27550 
-105264710 ,9653775 ,-12015841 ,-20752440 ,43250308 
62666 ,-1146032 ,394651 ,38032 ,470651 
-8195 ,-66742 ,-17051 ,-1383 ,40006 
11709528 ,-8562949 ,-362434 ,-774332 ,6122068 
152702 ,-129090 ,7653 ,-17394 ,267749 
114368 ,-90701 ,-106681 ,-45743 ,195401 
32843 ,6692 ,27474 ,53357 ,86890 
62567 ,3573 ,60618 ,997 ,43310 
1054290 ,-89191 ,-36630 ,148964 ,1423902 
-1258358 ,-2332177 ,-507448 ,492146 ,1180116 
2550152 ,-1831825 ,-164999 ,-7508 ,1228428 
-706697 ,48874 ,34059 ,-158762 ,469479 
165717 ,-159969 ,-13636 ,18697 ,67188 
132548 ,-59525 ,-4017 ,57769 ,22800 
2919831 ,-7165784 ,-23367 ,3336140 ,2446608 
8530 ,-9008 ,-426 ,204 ,16569 
27 ,-87035 ,93444 ,-3821 ,12127 
-66918 ,-138404 ,-23569 ,123971 ,66355 
-187673 ,-462505 ,-122837 ,240561 ,249309 
-1609108 ,-3416903 ,-206385 ,1321927 ,722704 
-46618 ,-1495807 ,-440000 ,320924 ,1133874 
-832636 ,-1452241 ,186784 ,1080870 ,623090 
-2380933 ,-1828489 ,-719606 ,304936 ,2075927 
-36395 ,-29992 ,-8392 ,18161 ,17607 
-95568 ,-104006 ,-17627 ,59321 ,61298 
127594 ,-111953 ,-78742 ,88027 ,185633 
-8200 ,-42771 ,4358 ,25775 ,9975 
3506 ,1331 ,-1573 ,-6999 ,8882 
-14631 ,-28284 ,1677 ,38348 ,1493 
